Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Nissan,2015,Serena,National Vehicles,2015 Nissan Serena Highway Star HYBRID,USED,Automatic,-,Other,Unleaded,-,124295,White / Black,"Braeside, VIC",-,Wagon,,,20000-30000 AUD
Toyota,2012,Hiace,Commercial,2012 Toyota Hiace LWB,USED,Automatic,"4 cyl, 3 L",Rear,Diesel,8 L / 100 km,136601,- / -,"Lidcombe, NSW",4 cyl,Commercial, 4 Doors, 3 Seats,20000-30000 AUD
Nissan,2010,Elgrand,Exclusive Autohaus,2010 Nissan Elgrand Highway Star Premium,USED,Automatic,-,Other,-,-,102324,White / Grey,"Blacktown, NSW",-,Wagon,,,20000-30000 AUD
Isuzu,2016,D-MAX,Ute / Tray,2016 Isuzu D-MAX SX HI-Ride (4X2),USED,Automatic,"4 cyl, 3 L",Rear,Diesel,7.9 L / 100 km,178562,White / Grey,"Mayfield, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,20000-30000 AUD
Kia,2018,Sportage,SUV,2018 Kia Sportage SLI (awd),USED,Automatic,"4 cyl, 2 L",AWD,Diesel,6.8 L / 100 km,67770,White / -,"Boolaroo, NSW",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Toyota,2018,Corolla,USED Dealer ad,2018 Toyota Corolla Ascent S-CVT,USED,Automatic,-,Front,Unleaded,-,87108,Blue / Grey,"Greenacre, NSW",-,,,,20000-30000 AUD
Suzuki,2020,Baleno,Hatchback,2020 Suzuki Baleno GLX,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,5.2 L / 100 km,19296,White / -,"West Gosford, NSW",4 cyl,Hatchback, 4 Doors, 5 Seats,20000-30000 AUD
Toyota,2017,Corolla,Hatchback,2017 Toyota Corolla Hybrid,USED,Automatic,"4 cyl, 1.8 L",Front,Hybrid,4.1 L / 100 km,83143,White / Grey,"Morphett Vale, SA",4 cyl,Hatchback, 5 Doors, 5 Seats,20000-30000 AUD
Mazda,2017,3,Hatchback,2017 Mazda 3 Maxx,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,5.8 L / 100 km,50888,- / -,"Adelaide, SA",4 cyl,Hatchback, 5 Doors, 5 Seats,20000-30000 AUD
Suzuki,2015,Vitara,SUV,2015 Suzuki Vitara RT-S,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6 L / 100 km,119404,Orange / -,"Myaree, WA",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Mazda,2018,6,Sedan,2018 Mazda 6 Sport (5YR),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7 L / 100 km,38808,Silver / Cloth,"Ipswich, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,20000-30000 AUD
Hyundai,2021,I30,Hatchback,2021 Hyundai I30,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,36747,Blue / -,"Port Macquarie, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,20000-30000 AUD
Skoda,2018,Rapid,Wagon,2018 Skoda Rapid Spaceback 92 TSI,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,6 L / 100 km,41010,Black / Black,"Geelong, VIC",4 cyl,Wagon, 4 Doors, 5 Seats,20000-30000 AUD
Hyundai,2016,Iload,Commercial,2016 Hyundai Iload,USED,Automatic,"4 cyl, 2.5 L",Rear,Diesel,8.8 L / 100 km,109153,White / -,"Smithfield, NSW",4 cyl,Commercial, 4 Doors, 3 Seats,20000-30000 AUD
Hyundai,2015,Iload,Commercial,2015 Hyundai Iload Crew,USED,Automatic,"4 cyl, 2.5 L",Rear,Diesel,8.8 L / 100 km,147682,White / -,"Granville, NSW",4 cyl,Commercial, 4 Doors, 6 Seats,20000-30000 AUD
Mazda,2014,CX-5,SUV,2014 Mazda CX-5 Maxx Sport (4X2),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.4 L / 100 km,117307,Blue / Black,"Bairnsdale, VIC",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Nissan,2019,X-Trail,SUV,2019 Nissan X-Trail ST (2WD) (5YR),USED,Manual,"4 cyl, 2 L",Front,Unleaded,8.2 L / 100 km,24980,Black / -,"Hamilton, NSW",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Toyota,2010,Estima,USED Dealer ad,2010 Toyota Estima Aeras G,USED,-,-,Other,-,-,67607,White / -,"Moorabbin, VIC",-,Wagon,,,20000-30000 AUD
Suzuki,2021,Carry,Melbourne Automobiles Pty Ltd,2021 Suzuki Carry,USED,Manual,-,Other,Premium,-,50,Green / Grey,"Braeside, VIC",-,Ute / Tray,,,20000-30000 AUD
Mini,2014,Countryman,SUV,2014 Mini Countryman Cooper,USED,Automatic,"4 cyl, 1.6 L",Front,Premium,7.6 L / 100 km,87400,Black / Grey,"Croydon, NSW",4 cyl,SUV, 4 Doors, 4 Seats,20000-30000 AUD
Mitsubishi,2015,ASX,SUV,2015 Mitsubishi ASX LS (2WD),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,84430,Grey / Black Cloth,"Berwick, VIC",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Volkswagen,2021,T-Cross,SUV,2021 Volkswagen T-Cross 85TSI Life,USED,Automatic,"3 cyl, 1 L",Front,Premium,5.4 L / 100 km,38632,Silver / Black,"Nunawading, VIC",3 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Mitsubishi,2014,Triton,Ute / Tray,2014 Mitsubishi Triton GLX (4X4),USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,8.1 L / 100 km,159880,White / Grey,"Port Macquarie, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,20000-30000 AUD
Kia,2015,Sportage,SUV,2015 Kia Sportage SI Premium (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.8 L / 100 km,105688,White / Grey,"Lithgow, NSW",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Kia,2020,Cerato,Sedan,2020 Kia Cerato S,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,50695,Red / Black,"Hoppers Crossing, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,20000-30000 AUD
Toyota,2009,Alphard,USED Dealer ad,2009 Toyota Alphard V6,USED,-,-,Other,-,-,103497,Grey / Gunmetal Grey,"Greenacre, NSW",-,Wagon,,,20000-30000 AUD
Nissan,2019,X-Trail,SUV,2019 Nissan X-Trail ST (2WD) (5YR),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9 L / 100 km,78564,Blue / Black,"Derwent Park, TAS",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Kia,2021,Cerato,Hatchback,2021 Kia Cerato S,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,33425,White / -,"Kedron, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,20000-30000 AUD
Mitsubishi,2018,Eclipse,SUV,2018 Mitsubishi Eclipse Cross LS (2WD),USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.3 L / 100 km,78460,Blue / Black,"New Town, TAS",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Volkswagen,2018,Golf,Wagon,2018 Volkswagen Golf 110 TDI Highline,USED,Automatic,"4 cyl, 2 L",Front,Diesel,5 L / 100 km,54872,Blue / 2018/09,"Port Melbourne, VIC",4 cyl,Wagon, 4 Doors, 5 Seats,20000-30000 AUD
Kia,2020,Sportage,Blinkr,2020 Kia Sportage S 2WD,USED,Automatic,-,Front,Unleaded,-,41520,White / -,"Essendon Fields, VIC",-,SUV,,,20000-30000 AUD
Subaru,2015,Impreza,Carbarn,2015 Subaru Impreza Sports Hybrid 2.0i-S,USED,Automatic,-,Other,Unleaded,-,81594,Blue / Grey,"Lidcombe, NSW",-,Hatchback,,,20000-30000 AUD
BMW,2014,220D,Coupe,2014 BMW 220D Sport Line,USED,Automatic,"4 cyl, 2 L",Rear,Diesel,4.4 L / 100 km,56877,Silver / -,"Beresfield, NSW",4 cyl,Coupe, 2 Doors, 4 Seats,20000-30000 AUD
Toyota,2019,Hilux,Ute / Tray,2019 Toyota Hilux Workmate,USED,Automatic,"4 cyl, 2.7 L",Rear,Unleaded,10.9 L / 100 km,86524,White / -,"Hawthorn, SA",4 cyl,Ute / Tray, 2 Doors, 2 Seats,20000-30000 AUD
Jeep,2016,Grand,SUV,2016 Jeep Grand Cherokee Laredo (4X4),USED,Automatic,"6 cyl, 3 L",4WD,Diesel,7.5 L / 100 km,104369,White / -,"Canning Vale, WA",6 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Kia,2019,RIO,Hatchback,2019 Kia RIO S,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,6.2 L / 100 km,50588,Silver / Black,"Ferntree Gully, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,20000-30000 AUD
Hyundai,2018,Imax,Wagon,2018 Hyundai Imax Active,USED,Automatic,"4 cyl, 2.5 L",Rear,Diesel,8.8 L / 100 km,190176,Grey / Grey,"Cabramatta, NSW",4 cyl,Wagon, 4 Doors, 8 Seats,20000-30000 AUD
Kia,2017,Carnival,Wagon,2017 Kia Carnival S,USED,Automatic,"6 cyl, 3.3 L",Front,Unleaded,11.6 L / 100 km,131301,Silver / -,"Wollongong, NSW",6 cyl,Wagon, 4 Doors, 8 Seats,20000-30000 AUD
BMW,2016,220I,Convertible,2016 BMW 220I M-Sport,USED,Automatic,"4 cyl, 2 L",Rear,Premium,6.4 L / 100 km,118120,Grey / Black,"Caringbah, NSW",4 cyl,Convertible, 2 Doors, 4 Seats,20000-30000 AUD
Hyundai,2020,I30,Sedan,2020 Hyundai I30 Active,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7 L / 100 km,55980,Blue / -,"Welshpool, WA",4 cyl,Sedan, 4 Doors, 5 Seats,20000-30000 AUD
Ford,2013,Ranger,Ute / Tray,2013 Ford Ranger XLT 3.2 (4X4),USED,Manual,"5 cyl, 3.2 L",4WD,Diesel,9.4 L / 100 km,209825,Grey / Black,"Slacks Creek, QLD",5 cyl,Ute / Tray, 4 Doors, 5 Seats,20000-30000 AUD
Land,2017,Rover,SUV,2017 Land Rover Discovery Sport TD4 150 SE 5 Seat,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.3 L / 100 km,167968,Grey / Black,"Cessnock, NSW",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Renault,2020,Koleos,SUV,2020 Renault Koleos ZEN X-Tronic (4X2),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,8.1 L / 100 km,42623,White / -,"Tweed Heads South, NSW",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Toyota,2020,Corolla,Sedan,2020 Toyota Corolla Ascent Sport + Navigation,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6 L / 100 km,11204,White / Grey  Cloth,"Warwick Farm, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,20000-30000 AUD
Mitsubishi,2017,Outlander,SUV,2017 Mitsubishi Outlander LS (4X2),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.6 L / 100 km,61512,White / Black,"North Wollongong, NSW",4 cyl,SUV, 4 Doors, 7 Seats,20000-30000 AUD
LDV,2017,G10,Wagon,2017 LDV G10 (7 Seat),USED,Automatic,"4 cyl, 2 L",Rear,Unleaded,11.7 L / 100 km,85273,Black / Grey,"Sylvania, NSW",4 cyl,Wagon, 4 Doors, 7 Seats,20000-30000 AUD
Subaru,2017,Levorg,Wagon,2017 Subaru Levorg 1.6 GT Premium,USED,Automatic,"4 cyl, 1.6 L",AWD,Premium,7.4 L / 100 km,115362,Black / -,"Coburg North, VIC",4 cyl,Wagon, 4 Doors, 5 Seats,20000-30000 AUD
Mazda,2015,CX-5,SUV,2015 Mazda CX-5 Maxx Sport (4X4),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.4 L / 100 km,67373,Black / -,"Morningside, QLD",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Kia,2020,Cerato,Sedan,2020 Kia Cerato S,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,54177,Red / Black,"Richmond, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,20000-30000 AUD
Suzuki,2016,Vitara,SUV,2016 Suzuki Vitara S Turbo (fwd),USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,5.9 L / 100 km,72792,- / -,"Fyshwick, ACT",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Chrysler,2012,300C,Sedan,2012 Chrysler 300C SRT8,USED,Automatic,"8 cyl, 6.1 L",Rear,Premium,14 L / 100 km,119191,Black / -,"Point Cook, VIC",8 cyl,Sedan, 4 Doors, 5 Seats,20000-30000 AUD
Suzuki,2018,Every,"03 **** ****
",2018 Suzuki Every,USED,-,-,Other,Unleaded,-,99497,Black / Beige,"Braeside, VIC",-,,,,20000-30000 AUD
Holden,2015,Commodore,Wagon,2015 Holden Commodore SV6 Storm,USED,Automatic,"6 cyl, 3.6 L",Rear,Unleaded,9.8 L / 100 km,133934,White / Black,"Homebush, NSW",6 cyl,Wagon, 4 Doors, 5 Seats,20000-30000 AUD
Toyota,2013,Hilux,Ute / Tray,2013 Toyota Hilux SR5 (4X4),USED,Manual,"4 cyl, 3 L",4WD,Diesel,8.3 L / 100 km,247867,Silver / -,"Minchinbury, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,20000-30000 AUD
Volkswagen,2013,Amarok,Mr Car,2013 Volkswagen Amarok 2H TDI420 Highline Utility Dual Cab 4dr Auto 8sp 4Motion (4X,USED,Automatic,-,Other,Diesel,-,231521,Grey / -,"Rouse Hill, NSW",-,Ute / Tray,,,20000-30000 AUD
Hyundai,2020,I30,Hatchback,2020 Hyundai I30 Active,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,61732,White / -,"Victoria Park, WA",4 cyl,Hatchback, 4 Doors, 5 Seats,20000-30000 AUD
Subaru,2018,Forester,SUV,2018 Subaru Forester 2.5I-L,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,8.1 L / 100 km,77785,White / -,"Rutherford, NSW",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Audi,2016,A4,Sedan,2016 Audi A4 1.4 Tfsi S Tronic Sport,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,5.5 L / 100 km,96256,Blue / -,"Bentley, WA",4 cyl,Sedan, 4 Doors, 5 Seats,20000-30000 AUD
Hyundai,2022,Venue,SUV,2022 Hyundai Venue,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,7.2 L / 100 km,5045,White / Black,"Hoppers Crossing, VIC",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Mazda,2018,CX-5,SUV,2018 Mazda CX-5 Touring (4X4),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,6 L / 100 km,129489,Black / Black,"Gosford, NSW",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Hyundai,2018,Tucson,SUV,2018 Hyundai Tucson Highlander (awd) Beige,USED,Automatic,"4 cyl, 1.6 L",AWD,Unleaded,7.7 L / 100 km,138172,Silver / Leather,"Liverpool, NSW",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Jeep,2015,Grand,SUV,2015 Jeep Grand Cherokee Limited (4X4),USED,Automatic,"6 cyl, 3 L",4WD,Diesel,7.5 L / 100 km,130100,Black / -,"Sunshine North, VIC",6 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Toyota,2013,86,Coupe,2013 Toyota 86 GTS,USED,Manual,"4 cyl, 2 L",Rear,Premium,7.8 L / 100 km,67685,Black / Black,"Pinkenba, QLD",4 cyl,Coupe, 2 Doors, 4 Seats,20000-30000 AUD
Hyundai,2017,Tucson,SUV,2017 Hyundai Tucson Highlander (awd),USED,Automatic,"4 cyl, 2 L",AWD,Diesel,6.8 L / 100 km,89564,- / -,"Oakleigh, VIC",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
MG,2021,HS,SUV,2021 MG HS Core,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.3 L / 100 km,35229,Black / -,"Toowoomba, QLD",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Toyota,2016,Hilux,Ute / Tray,2016 Toyota Hilux Workmate,USED,Automatic,"4 cyl, 2.7 L",Rear,Unleaded,10.4 L / 100 km,83178,White / -,"Waitara, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,20000-30000 AUD
Kia,2018,Cerato,Hatchback,2018 Kia Cerato Sport+,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.2 L / 100 km,65374,Blue / Black,"Arncliffe, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,20000-30000 AUD
Hyundai,2019,Sonata,Sedan,2019 Hyundai Sonata Active,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,8.3 L / 100 km,139042,Grey / -,"Traralgon, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,20000-30000 AUD
Toyota,2009,Crown,"03 **** ****
",2009 Toyota Crown Hybrid,USED,-,-,Other,-,-,37788,Silver / -,"Moorabbin, VIC",-,,,,20000-30000 AUD
Haval,2018,H6,SUV,2018 Haval H6 LUX,USED,Automatic,"4 cyl, 2 L",Front,Premium,9.8 L / 100 km,68479,Silver / Grey,"Mayfield West, NSW",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Renault,2014,Clio,Hatchback,2014 Renault Clio RS 200 Sport,USED,Automatic,"4 cyl, 1.6 L",Front,-,6.3 L / 100 km,92667,Red / Cloth,"Epping, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,20000-30000 AUD
Mitsubishi,2011,Pajero,SUV,2011 Mitsubishi Pajero GLS LWB (4X4),USED,Automatic,"4 cyl, 3.2 L",4WD,Diesel,9.2 L / 100 km,216328,White / Black,"Wangara, WA",4 cyl,SUV, 4 Doors, 7 Seats,20000-30000 AUD
Hyundai,2020,Kona,SUV,2020 Hyundai Kona Active (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.2 L / 100 km,49154,Silver / -,"Victoria Park, WA",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Mazda,2016,CX-5,SUV,2016 Mazda CX-5 GT (4X4),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,5.7 L / 100 km,145056,Red / Leather,"Epping, VIC",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Mini,2015,Cooper,Hatchback,2015 Mini Cooper S 5D Hatch,USED,Automatic,"4 cyl, 2 L",Front,Premium,5.5 L / 100 km,92892,White / Grey,"Myaree, WA",4 cyl,Hatchback, 5 Doors, 5 Seats,20000-30000 AUD
Renault,2017,Captur,SUV,2017 Renault Captur Intens,USED,Automatic,"4 cyl, 1.2 L",Front,Premium,5.8 L / 100 km,34005,White / Black,"Myaree, WA",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Suzuki,2021,Ignis,SUV,2021 Suzuki Ignis GL,USED,Automatic,"4 cyl, 1.2 L",Front,Premium,4.9 L / 100 km,15242,Green / Grey  Cloth,"Warwick Farm, NSW",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Hyundai,2016,Tucson,SUV,2016 Hyundai Tucson Elite (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.9 L / 100 km,46203,Brown / Ivory,"Frankston, VIC",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Honda,2018,Jazz,Hatchback,2018 Honda Jazz VTI,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,5.8 L / 100 km,69965,- / -,"Toowoomba, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,20000-30000 AUD
Toyota,2016,Hilux,Ute / Tray,2016 Toyota Hilux Workmate,USED,Manual,"4 cyl, 2.4 L",Rear,Diesel,7.7 L / 100 km,131986,White / -,"Granville, NSW",4 cyl,Ute / Tray, 2 Doors, 2 Seats,20000-30000 AUD
Land,2015,Rover,SUV,2015 Land Rover Discovery Sport SD4 HSE,USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,6.1 L / 100 km,107400,Grey / Black,"Kedron, QLD",4 cyl,SUV, 4 Doors, 5 Seats,30000-40000 AUD
Volkswagen,2016,Golf,Hatchback,2016 Volkswagen Golf R,USED,Automatic,"4 cyl, 2 L",AWD,Premium,7.1 L / 100 km,61731,Blue / Black/Leather,"Bibra Lake, WA",4 cyl,Hatchback, 5 Doors, 5 Seats,30000-40000 AUD
Toyota,2023,Corolla,Hatchback,2023 Toyota Corolla Ascent Sport + Convenience PK,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6 L / 100 km,35,White / -,"Raymond Terrace, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,30000-40000 AUD
Mazda,2017,CX-5,SUV,2017 Mazda CX-5 Maxx Sport (4X2),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.9 L / 100 km,111644,Black / Cloth,"Echuca, VIC",4 cyl,SUV, 4 Doors, 5 Seats,30000-40000 AUD
Volkswagen,2018,Tiguan,SUV,2018 Volkswagen Tiguan 162 TSI Highline,USED,Automatic,"4 cyl, 2 L",AWD,Premium,8.1 L / 100 km,58383,Grey / Black,"Wollongong, NSW",4 cyl,SUV, 4 Doors, 5 Seats,30000-40000 AUD
Toyota,2019,C-HR,SUV,2019 Toyota C-HR Koba (2WD),USED,Automatic,"4 cyl, 1.2 L",Front,Premium,6.4 L / 100 km,59750,Silver / Black,"Dudley Park, WA",4 cyl,SUV, 5 Doors, 5 Seats,30000-40000 AUD
Toyota,2019,Kluger,SUV,2019 Toyota Kluger GX (4X2),USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,9.1 L / 100 km,75535,Silver / -,"Waterloo, NSW",6 cyl,SUV, 4 Doors, 7 Seats,30000-40000 AUD
Mitsubishi,2020,Outlander,SUV,2020 Mitsubishi Outlander LS 7 Seat (awd),USED,Automatic,"4 cyl, 2.3 L",AWD,Diesel,6.2 L / 100 km,50603,Grey / Black,"Nunawading, VIC",4 cyl,SUV, 4 Doors, 7 Seats,30000-40000 AUD
Holden,2019,Colorado,Ute / Tray,2019 Holden Colorado LS (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8.6 L / 100 km,94279,White / Black,"Gawler South, SA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,30000-40000 AUD
Mercedes-Benz,2015,GLA250,SUV,2015 Mercedes-Benz GLA250 4Matic,USED,Automatic,"4 cyl, 2 L",AWD,Premium,7 L / 100 km,68860,Grey / Black,"New Town, TAS",4 cyl,SUV, 4 Doors, 5 Seats,30000-40000 AUD
Mitsubishi,2018,Triton,Ute / Tray,2018 Mitsubishi Triton Exceed (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,7.6 L / 100 km,87360,Grey / -,"South Nowra, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,30000-40000 AUD
Toyota,2018,Kluger,SUV,2018 Toyota Kluger GX (4X2),USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,9.1 L / 100 km,122793,Black / Grey,"Brookvale, NSW",6 cyl,SUV, 4 Doors, 7 Seats,30000-40000 AUD
Toyota,2020,Corolla,Hatchback,2020 Toyota Corolla Ascent Sport Hybrid,USED,Automatic,"4 cyl, 1.8 L",Front,Hybrid,4.2 L / 100 km,50338,Red / -,"Adelaide, SA",4 cyl,Hatchback, 5 Doors, 5 Seats,30000-40000 AUD
Mazda,2016,BT-50,Ute / Tray,2016 Mazda BT-50 XTR (4X4),USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,9.2 L / 100 km,205245,Silver / -,"Shepparton, VIC",5 cyl,Ute / Tray, 4 Doors, 5 Seats,30000-40000 AUD
Toyota,2018,Hilux,Ute / Tray,2018 Toyota Hilux SR (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8.5 L / 100 km,140937,White / Black Fabric,"Bunbury, WA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,30000-40000 AUD
Subaru,2022,XV,Carlin and Gazzard,2022 Subaru XV 2.0i Lineartronic AWD,USED,Automatic,-,Other,Unleaded,-,16132,Silver / Black,"Mount Gambier, SA",-,Wagon,,,30000-40000 AUD
Holden,2016,Colorado,Ute / Tray,2016 Holden Colorado LTZ (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,9.1 L / 100 km,107190,Red / -,"Labrador, QLD",4 cyl,Ute / Tray, 4 Doors, 5 Seats,30000-40000 AUD
Renault,2022,Koleos,SUV,2022 Renault Koleos Intens (4X2),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,8.1 L / 100 km,6530,White / Black,"Castle Hill, NSW",4 cyl,SUV, 4 Doors, 5 Seats,30000-40000 AUD
Lexus,2016,CT200H,Hatchback,2016 Lexus CT200H F Sport,USED,Automatic,"4 cyl, 1.8 L",Front,Hybrid,4.1 L / 100 km,87500,White / Black,"Hendra, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,30000-40000 AUD
Volkswagen,2019,Tiguan,SUV,2019 Volkswagen Tiguan 162 TSI Highline,USED,Automatic,"4 cyl, 2 L",AWD,Premium,8.1 L / 100 km,84665,Black / Black,"Blacktown, NSW",4 cyl,SUV, 4 Doors, 5 Seats,30000-40000 AUD
Subaru,2019,Forester,SUV,2019 Subaru Forester 2.5I-L (awd),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.4 L / 100 km,73894,Blue / Black,"HEIDELBERG, VIC",4 cyl,SUV, 4 Doors, 5 Seats,30000-40000 AUD
Holden,2017,Trailblazer,SUV,2017 Holden Trailblazer LTZ (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8.6 L / 100 km,76214,White / Black,"Totness, SA",4 cyl,SUV, 4 Doors, 7 Seats,30000-40000 AUD
Mitsubishi,2018,Triton,Ute / Tray,2018 Mitsubishi Triton GLX Plus (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,7.6 L / 100 km,99214,White / Cloth,"Echuca, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,30000-40000 AUD
Mitsubishi,2019,Pajero,SUV,2019 Mitsubishi Pajero Sport GLS (4X4) 7 Seat,USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,8 L / 100 km,53477,White / -,"Alexandria, NSW",4 cyl,SUV, 4 Doors, 7 Seats,30000-40000 AUD
Hyundai,2021,Kona,SUV,2021 Hyundai Kona Active (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.2 L / 100 km,23130,White / Black,"Rockingham, WA",4 cyl,SUV, 4 Doors, 5 Seats,30000-40000 AUD
Mitsubishi,2020,Outlander,SUV,2020 Mitsubishi Outlander ES 5 Seat (awd),USED,Automatic,"4 cyl, 2.4 L",AWD,Unleaded,7.2 L / 100 km,40361,Red / Black,"Southport, QLD",4 cyl,SUV, 4 Doors, 5 Seats,30000-40000 AUD
Kia,2019,Carnival,Wagon,2019 Kia Carnival S,USED,Automatic,"6 cyl, 3.3 L",Front,Unleaded,10.8 L / 100 km,84549,Silver / Black Cloth,"Blacktown, NSW",6 cyl,Wagon, 4 Doors, 8 Seats,30000-40000 AUD
